Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,
A Client MicroServices Automatic Collaboration Framework Based on Fine-Grained APP,R. Wang; S. Chen; Z. Feng; K. Huang,NA; NA; NA; NA,2018 IEEE International Conference on Services Computing (SCC),,2018,,,25,32,,,,10.1109/SCC.2018.00011,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456397,MicroService;Fine-Grained APP;Automatic Collaboration;Service Parameters,Collaboration;Switches;Task analysis;Semantics;Uniform resource locators;Computer architecture;Mobile handsets,formal specification;groupware;mobile computing;service-oriented architecture;Web services,mobile service ecosystem;MicroService architecture;APP developers;complex user requirements;fine-grained APP automatic collaboration meta-model;MicroService model;collaboration model;automatic collaboration engine;automatic MicroService launching;service parameters;client-based MicroServices automatic collaboration framework;MSAC framework,,,,,,,,,IEEE,IEEE Conferences,
Migrating Enterprise Legacy Source Code to Microservices: On Multitenancy; Statefulness; and Data Consistency,A. Furda; C. Fidge; O. Zimmermann; W. Kelly; A. Barros,Queensland University of Technology; Queensland University of Technology; University of Applied Sciences of Eastern Switzerland; Rapperswil; Queensland University of Technology; Queensland University of Technology,IEEE Software,,2018,35,3,63,72,,,,10.1109/MS.2017.440134612,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8186442,microservices;multitenancy;refactoring;architectural patterns;statefulness;data consistency;software development;software engineering,Databases;User interfaces;Object recognition;Logic gates;Cloud computing;Service computing;Software engineering,business data processing;cloud computing;software architecture;software maintenance,migrating enterprise legacy source code;microservice migration;monolithic legacy enterprise applications;cloud-computing environments;refactoring pattern-based migration techniques;architectural pattern-based migration techniques;microservice architectures;microservice system;data consistency challenges;migrating legacy code;decentralized data repositories,,,,,,,,,IEEE,IEEE Journals & Magazines,
Deploying Microservice Based Applications with Kubernetes: Experiments and Lessons Learned,L. Abdollahi Vayghan; M. A. Saied; M. Toeroe; F. Khendek,NA; NA; NA; NA,2018 IEEE 11th International Conference on Cloud Computing (CLOUD),,2018,,,970,973,,,,10.1109/CLOUD.2018.00148,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8457916,Microservices; Containers; Orchestration; Docker; Kubernetes; Failure; Availability,Containers;Cloud computing;Maintenance engineering;Streaming media;Computer crashes;Measurement;IP networks,public domain software;software architecture;software maintenance;system recovery,Kubernetes;architectural style;maintainability;flexibility;open source platform;microservice based applications;failure recovery,,,,,,,,,IEEE,IEEE Conferences,
Towards Integrating Microservices with Adaptable Enterprise Architecture,J. Bogner; A. Zimmermann,NA; NA,2016 IEEE 20th International Enterprise Distributed Object Computing Workshop (EDOCW),,2016,,,1,6,,,,10.1109/EDOCW.2016.7584392,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7584392,,Computer architecture;Adaptation models;Business;Biological system modeling;Unified modeling language;Context;Service-oriented architecture,information systems;service-oriented architecture,microservices integration;IT environments;Internet of Things components;mobility systems;adaptable ecosystems;service-oriented enterprise architectures;self-optimizing systems;resilient run-time environments;distributed information systems;enterprise architecture methodologies;digital transformation;adaptable digital enterprise architectures,,,,,,,,,IEEE,IEEE Conferences,
Towards Osmotic Computing: Analyzing Overlay Network Solutions to Optimize the Deployment of Container-Based Microservices in Fog; Edge and IoT Environments,A. Buzachis; A. Galletta; L. Carnevale; A. Celesti; M. Fazio; M. Villari,NA; NA; NA; NA; NA; NA,2018 IEEE 2nd International Conference on Fog and Edge Computing (ICFEC),,2018,,,1,10,,,,10.1109/CFEC.2018.8358729,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8358729,,Cloud computing;Containers;Internet of Things;Computer architecture;Edge computing;Ecosystems,computer centres;Internet of Things;optimisation;virtualisation,optimization;Fog;Osmotic Computing environments;overlay network solutions;edge;IoT environments;Cloud technologies;Intenet of Things environments,,,,,,,,,IEEE,IEEE Conferences,
Migrating Towards Microservice Architectures: An Industrial Survey,P. Di Francesco; P. Lago; I. Malavolta,NA; NA; NA,2018 IEEE International Conference on Software Architecture (ICSA),,2018,,,29,2909,,,,10.1109/ICSA.2018.00012,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417114,Microservice Architecture;Migration to Microservices;Industrial Survey,Interviews;Computer architecture;Companies;Sociology;Statistics;Electronic mail;Industries,business data processing;organisational aspects;service-oriented architecture,industrial survey;architectural style;microservice-based architecture;technical perspectives;organizational perspectives;migration practices,,,,,,,,,IEEE,IEEE Conferences,
Methodology to transform a monolithic software into a microservice architecture,C. A. J. Acevedo; J. P. Gómez y Jorge; I. R. Patiño,Universidad Tecnológica de Pereira; Colombia; Universidad Tecnológica de Pereira; Colombia; Universidad Tecnológica de Pereira; Colombia,2017 6th International Conference on Software Process Improvement (CIMPS),,2017,,,1,6,,,,10.1109/CIMPS.2017.8169955,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8169955,cloud computing;denormalization;development methodology;decoupling;distributed application;fractionation;microservices;monolith;refactoring;transformation,Computer architecture;Service-oriented architecture;Unified modeling language;Transforms;Fractionation;Semiconductor optical amplifiers,Internet;program testing;software architecture;software maintenance;software prototyping;software quality,monolithic software;microservice architecture;development methodology;monolithic system;open source monolith application;monolithic application;functional subdomains;software construction;design implementation testing;continuous integration;evolutionary life cycle;monolithic architecture;traditional design;development teams;centralized design;anti-design patterns;distributed architecture;Web applications;staggered transformation;controlled transformation;quality assurance,,,,,,,,,IEEE,IEEE Conferences,
Towards Executable Specifications for Microservices,J. G. Quenum; S. Aknine,NA; NA,2018 IEEE International Conference on Services Computing (SCC),,2018,,,41,48,,,,10.1109/SCC.2018.00013,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8456399,Services;Testing;Intelligent Agents;Formal Specifications,Testing;Service-oriented architecture;Intelligent agents;Business;Computer architecture;Curriculum development,formal specification;program testing;software architecture;software prototyping,empirical approach;microservice automated testing;agile methodology;software development;core specifications;acceptance tests;microservice tenets;agent formal specifications;executable specifications;autonomous software entities,,,,,,,,,IEEE,IEEE Conferences,
Towards an understanding of microservices,D. Shadija; M. Rezai; R. Hill,Department of Computing; Sheffield Hallam University; UK; Department of Computing; Sheffield Hallam University; UK; School of Computing and Engineering; University of Huddersfield; UK,2017 23rd International Conference on Automation and Computing (ICAC),,2017,,,1,6,,,,10.23919/IConAC.2017.8082018,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8082018,Service Oriented Architecture (SOA);microservices;Domain Driven Design (DDD);Software Engineering,Business;Computer architecture;Service-oriented architecture;Data models;Internet of Things,business data processing;Internet of Things;service-oriented architecture;Web services,enterprise architects;domain driven design;Internet of Things;service oriented architecture;business analysts;SOA;microservices architecture,,,,,,,,,IEEE,IEEE Conferences,
Machine learning as a reusable microservice,M. Pahl; M. Loipfinger,Technical University of Munich; Technical University of Munich,NOMS 2018 - 2018 IEEE/IFIP Network Operations and Management Symposium,,2018,,,1,7,,,,10.1109/NOMS.2018.8406165,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8406165,machine learning;neural networks;service orientation;microservices;encapsulation;reuse;high usability,Neurons;Libraries;Cloud computing;Machine learning;Recurrent neural networks;Training,belief networks;data analysis;feedforward neural nets;Internet of Things;learning (artificial intelligence);problem solving;recurrent neural nets,machine learning capabilities;Feed-Forward Neural Networks;dynamically linkable REST ML service modules;diverse ML algorithms;reusable microservice;data-oriented microservice;Internet of Things;Deep Believe Networks;Recurrent Neural Networks;service oriented design;TensorFlow library;ML-based data analytics,,,,,,,,,IEEE,IEEE Conferences,
An Approach to Extract the Architecture of Microservice-Based Software Systems,B. Mayer; R. Weinreich,NA; NA,2018 IEEE Symposium on Service-Oriented System Engineering (SOSE),,2018,,,21,30,,,,10.1109/SOSE.2018.00012,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359145,Microservices;architecture extraction;microservice monitoring;microservice management,Computer architecture;Runtime;Software systems;Data models;Documentation;Containers;Monitoring,service-oriented architecture;software fault tolerance,microservices decouple network-accessible system components;independent development;component relations;static sources;component relationships;existing systems;static structure;service relations;runtime properties;static service information;runtime information;microservice-based software system architecture;aggregated runtime information;infrastructure-related information,,,,,,,,,IEEE,IEEE Conferences,
Microservices-based software architecture and approaches,K. Bakshi,Cisco Systems; Inc.; 13635 Dulles Technology Drive; Herndon; VA 20171,2017 IEEE Aerospace Conference,,2017,,,1,8,,,,10.1109/AERO.2017.7943959,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943959,,Computer architecture;Software;Databases;Production;Tools;Organizations,aerospace computing;software architecture,microservices-based software architecture;aerospace industry;fully automated machinery;open source projects,,,,,,,,,IEEE,IEEE Conferences,
Orchestration of containerized microservices for IIoT using Docker,J. Rufino; M. Alam; J. Ferreira; A. Rehman; K. F. Tsang,Instituto de Telecomunicações; Campus Universitário de Santiago; 3810-193 Aveiro; Portugal; Instituto de Telecomunicações; Campus Universitário de Santiago; 3810-193 Aveiro; Portugal; Instituto de Telecomunicações; Campus Universitário de Santiago; 3810-193 Aveiro; Portugal; Department of Internetworking; Faculty of Engineering; Dalhousie University; Halifax; NS; Canada; City University of Hong Kong - HK,2017 IEEE International Conference on Industrial Technology (ICIT),,2017,,,1532,1536,,,,10.1109/ICIT.2017.7915594,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7915594,Software Defined Network;Industrial Internet of Things;Wireless Communication,Computer architecture;Logic gates;Containers;Virtualization;Sensors;Cloud computing,fault tolerance;Internet of Things;protocols;virtualisation,containerized microservices orchestration;IIoT;industrial Internet of things;data sharing;communication protocols;lightweight virtualization orchestration;fault-tolerance characteristics;architecture layers,,,,,,,,,IEEE,IEEE Conferences,
Using Service Dependency Graph to Analyze and Test Microservices,S. Ma; C. Fan; Y. Chuang; W. Lee; S. Lee; N. Hsueh,NA; NA; NA; NA; NA; NA,2018 IEEE 42nd Annual Computer Software and Applications Conference (COMPSAC),,2018,2,,81,86,,,,10.1109/COMPSAC.2018.10207,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8377834,microservice testing;microservice analysis;service dependency graph;service engineering,Testing;Tools;Software;Computer architecture;Visualization;Silicon carbide;Computer languages,graph theory;mobile computing;software architecture,emerging software architectural style;layered architecture;fault-tolerance;GMAT;dependency relationships;risky service invocation chains;large-scale MSA-based systems;service dependency graph;microservice architecture;graph-based microservice analysis,,,,,,,,,IEEE,IEEE Conferences,
